cas,smiles
111-70-6,OCCCCCCC
111-71-7,O=CCCCCCC
111-76-2,OCCOCCCC
111-78-4,C1=CCCC=CCC1
111-82-0,O=C(OC)CCCCCCCCCCC
111-96-6,O(C)CCOCCOC
112-02-7,[Cl-].CCCCCCCCCCCCCCCC[N+](C)(C)C
112-16-3,O=C(Cl)CCCCCCCCCCC
112-24-3,NCCNCCNCCN
112-27-6,OCCOCCOCCO
112-40-3,CCCCCCCCCCCC
112-55-0,SCCCCCCCCCCCC
115-11-7,C=C(C)C
115-22-0,O=C(C)C(O)(C)C
116-09-6,O=C(C)CO
116-11-0,O(C(=C)C)C
117-34-0,O=C(O)C(C=1C=CC=CC1)C=2C=CC=CC2
117-96-4,O=C(O)C=1C(I)=C(NC(=O)C)C(I)=C(NC(=O)C)C1I
118-10-5,OC(C=1C=CN=C2C=CC=CC21)C3N4CCC(C3)C(C=C)C4
118-41-2,O=C(O)C1=CC(OC)=C(OC)C(OC)=C1
118-52-5,O=C1N(Cl)C(=O)C(N1Cl)(C)C
118-72-9,SC=1C(=CC=CC1C)C
118-75-2,O=C1C(Cl)=C(Cl)C(=O)C(Cl)=C1Cl
118-90-1,O=C(O)C=1C=CC=CC1C
118-91-2,O=C(O)C=1C=CC=CC1Cl
118-93-4,O=C(C=1C=CC=CC1O)C
119-26-6,O=N(=O)C1=CC=C(NN)C(=C1)N(=O)=O
119-33-5,O=N(=O)C1=CC(=CC=C1O)C
119-36-8,O=C(OC)C=1C=CC=CC1O
119-61-9,O=C(C=1C=CC=CC1)C=2C=CC=CC2
119-64-2,C=1C=CC2=C(C1)CCCC2
119-65-3,N=1C=CC=2C=CC=CC2C1
119-67-5,O=CC=1C=CC=CC1C(=O)O
120-12-7,C=1C=CC=2C=C3C=CC=CC3=CC2C1
120-46-7,O=C(C=1C=CC=CC1)CC(=O)C=2C=CC=CC2
120-61-6,O=C(OC)C1=CC=C(C=C1)C(=O)OC
120-72-9,C=1C=CC=2NC=CC2C1
120-75-2,N=1C=2C=CC=CC2SC1C
120-80-9,OC=1C=CC=CC1O
120-82-1,ClC1=CC=C(Cl)C(Cl)=C1
120-92-3,O=C1CCCC1
121-14-2,O=N(=O)C1=CC=C(C(=C1)N(=O)=O)C
121-33-5,O=CC1=CC=C(O)C(OC)=C1
121-43-7,O(B(OC)OC)C
121-44-8,N(CC)(CC)CC
121-45-9,O(P(OC)OC)C
121-69-7,C=1C=CC(=CC1)N(C)C
121-71-1,O=C(C=1C=CC=C(O)C1)C
121-91-5,O=C(O)C1=CC=CC(=C1)C(=O)O
121-98-2,O=C(OC)C1=CC=C(OC)C=C1
122-00-9,O=C(C1=CC=C(C=C1)C)C
122-39-4,C=1C=CC(=CC1)NC=2C=CC=CC2
122-51-0,O(CC)C(OCC)OCC
122-52-1,O(P(OCC)OCC)CC
122-57-6,O=C(C=CC=1C=CC=CC1)C
122-78-1,O=CCC=1C=CC=CC1
123-08-0,O=CC1=CC=C(O)C=C1
123-11-5,O=CC1=CC=C(OC)C=C1
123-30-8,OC1=CC=C(N)C=C1
123-31-9,OC1=CC=C(O)C=C1
123-34-2,OCC(O)COCC=C
123-38-6,O=CCC
123-72-8,O=CCCC
123-73-9,O=CC=CC
123-75-1,N1CCCC1
123-91-1,O1CCOCC1
124-09-4,NCCCCCCN
124-13-0,O=CCCCCCCC
124-18-5,CCCCCCCCCC
124-19-6,O=CCCCCCCCC
124-40-3,N(C)C
124-41-4,C[O-].[Na+]
124-43-6,O=C(N)N.OO
124-63-0,O=S(=O)(Cl)C
127-08-2,CC(=O)[O-].[K+]
127-09-3,CC(=O)[O-].[Na+]
127-19-5,O=C(N(C)C)C
127-52-6,C1=CC=C(C=C1)S(=O)(=O)[N-]Cl.[Na+]
128-08-5,O=C1N(Br)C(=O)CC1
128-09-6,O=C1N(Cl)C(=O)CC1
128-37-0,OC=1C(=CC(=CC1C(C)(C)C)C)C(C)(C)C
129-00-0,C=1C=C2C=CC3=CC=CC=4C=CC(C1)=C2C34
129-44-2,O=C1C=2C=CC=C(N)C2C(=O)C=3C=CC=C(N)C13
129-64-6,O=C1OC(=O)C2C3C=CC(C3)C12
133-32-4,O=C(O)CCCC1=CNC=2C=CC=CC21
134-03-2,C(C(C1C(=C(C(=O)O1)O)[O-])O)O.[Na+]
134-32-7,NC1=CC=CC=2C=CC=CC12
134-81-6,O=C(C=1C=CC=CC1)C(=O)C=2C=CC=CC2
135-02-4,O=CC=1C=CC=CC1OC
135-19-3,OC=1C=CC=2C=CC=CC2C1
137-07-5,SC=1C=CC=CC1N
138-60-3,O=C1C=C(NC(=C1)C(=O)O)C(=O)O
139-66-2,S(C=1C=CC=CC1)C=2C=CC=CC2
140-10-3,O=C(O)C=CC=1C=CC=CC1
140-88-5,O=C(OCC)C=C
141-32-2,O=C(OCCCC)C=C
141-52-6,CC[O-].[Na+]
141-53-7,C(=O)[O-].[Na+]
141-78-6,O=C(OCC)C
141-82-2,O=C(O)CC(=O)O
141-93-5,C=1C=C(C=C(C1)CC)CC
141-97-9,O=C(OCC)CC(=O)C
142-08-5,O=C1C=CC=CN1
142-25-6,N(C)CCN(C)C
142-28-9,ClCCCCl
142-62-1,O=C(O)CCCCC
142-63-2,O.N1CCNCC1
142-68-7,O1CCCCC1
142-71-2,CC(=O)[O-].CC(=O)[O-].[Cu+2]
142-82-5,CCCCCCC
143-07-7,O=C(O)CCCCCCCCCCC
143-33-9,[C-]#N.[Na+]
143-66-8,[Na+].C=1C=C[C-](=CC1)[B+3]([C-]=2C=CC=CC2)([C-]=3C=CC=CC3)[C-]=4C=CC=CC4
144-48-9,O=C(N)CI
144-55-8,C(=O)(O)[O-].[Na+]
144-62-7,O=C(O)C(=O)O
147-85-3,O=C(O)C1NCCC1
149-57-5,O=C(O)C(CC)CCCC
150-13-0,O=C(O)C1=CC=C(N)C=C1
150-19-6,OC1=CC=CC(OC)=C1
151-10-0,O(C1=CC=CC(OC)=C1)C
151-50-8,[C-]#N.[K+]
153-94-6,O=C(O)C(N)CC1=CNC=2C=CC=CC21
156-06-9,O=C(O)C(=O)CC=1C=CC=CC1
191-07-1,C1=CC2=CC=C3C=CC4=CC=C5C=CC6=CC=C1C=7C2=C3C4=C5C67
198-55-0,C1=CC=2C=CC=C3C4=CC=CC5=CC=CC(C(=C1)C23)=C54
271-63-6,N1=CC=CC=2C=CNC12
271-89-6,O1C=CC=2C=CC=CC12
280-57-9,N12CCN(CC1)CC2
280-64-8,B1C2CCCC1CCC2
286-20-4,O1C2CCCCC12
288-32-4,N=1C=CNC1
288-88-0,N=1N=CNC1
288-94-8,N=1N=CNN1
298-14-6,C(=O)(O)[O-].[K+]
298-93-1,[Br-].N1=C(SC(=C1C)C)N2N=C(N=[N+]2C=3C=CC=CC3)C=4C=CC=CC4
300-57-2,C=CCC=1C=CC=CC1
302-72-7,O=C(O)C(N)C
